Type 1_first,Type 2_first,Type 1_second,Type 2_second,Height_diff,Weight_diff,Experience_diff,Total_stats_diff,Generation_diff,Legendary_diff,Winner
10,8,3,16,25,3240,104,158,4,0,1
14,12,12,12,2,255,-250,-45,-4,0,1
1,2,6,12,8,1300,188,190,4,0,1
3,8,12,12,-9,-652,77,55,3,0,0
15,10,5,12,-2,1010,-19,-55,-3,0,0
14,12,12,12,3,-49,-48,90,-3,0,1
16,14,14,12,5,1845,10,30,-2,0,0
0,13,5,16,-8,-487,-132,-265,1,0,0
9,14,12,12,-2,-63,-1,-5,-1,0,0
9,12,12,7,-1,83,-80,-93,0,0,0
13,12,5,12,-12,-1197,-167,-203,2,0,0
12,12,14,12,-3,49,48,-90,3,0,0
0,7,9,14,5,208,83,99,3,0,1
3,12,10,14,9,400,170,210,-1,0,0
11,12,9,12,7,1378,116,167,1,0,1
14,12,0,16,-7,-327,88,85,-1,1,0
14,7,11,7,6,-10,49,140,0,0,1
17,12,0,3,9,127,5,13,-2,0,0
0,12,2,10,-8,-488,-86,-120,-2,0,0
5,12,17,13,9,463,71,25,-1,0,0
13,17,0,12,-2,-104,-87,-80,3,0,0
12,12,17,12,0,-850,61,35,2,0,1
1,12,15,17,-2,-585,-19,-54,-1,0,1
17,12,17,12,-7,-155,-79,-91,5,0,1
6,5,8,12,2,210,55,-30,2,0,0
6,12,17,12,4,345,133,295,0,0,1
6,12,17,1,3,252,5,16,2,0,1
15,2,12,12,19,2375,2,6,4,0,1
3,12,12,12,6,556,120,220,-2,0,1
16,4,0,13,-2,-23,113,210,1,0,1
17,12,9,12,2,865,25,55,0,1,1
13,12,14,12,20,345,23,68,-2,0,1
1,12,11,12,-10,-1789,2,25,0,0,1
4,12,10,12,6,147,109,197,5,0,1
0,12,15,5,-16,-2575,-221,-380,1,-1,0
17,12,2,7,75,1915,-131,-180,0,-1,0
2,12,1,12,6,1020,23,65,2,0,0
12,12,2,7,-64,-1740,-126,-165,-1,-1,0
6,14,6,12,11,365,178,224,3,0,1
13,12,3,12,16,30,-84,-117,-3,0,0
10,2,2,12,14,640,170,200,-2,0,1
17,12,6,12,0,-721,-99,-140,3,0,1
7,2,5,12,0,352,28,80,5,0,1
0,13,1,12,-6,-317,-95,-160,2,0,0
5,12,9,16,4,-745,8,21,0,0,1
17,10,12,7,1,-2,5,24,-2,0,0
12,12,5,12,-1,42,53,-65,0,0,0
9,13,3,12,6,108,165,210,-1,0,1
5,12,6,5,-1,-1002,-79,-73,-4,0,1
9,13,10,12,-3,-323,-10,-50,2,0,1
12,4,2,14,-9,-345,-175,-330,-2,-1,0
1,2,12,12,4,-2,4,60,2,0,0
3,12,1,7,-7,-291,-113,-180,-4,0,1
12,12,17,12,-1,230,84,106,1,0,1
0,13,6,5,13,1455,-22,-49,1,0,1
9,4,12,12,2,-50,117,225,0,0,1
9,13,17,4,0,-199,-51,-25,-1,0,0
16,14,15,7,-13,15,-120,-215,3,0,0
15,0,12,12,6,342,-68,-40,-1,0,0
17,10,9,12,-2,-290,43,-22,-1,0,1
2,12,3,12,-11,-445,-88,-105,0,0,1
12,12,6,5,1,100,12,35,-3,0,1
15,12,1,12,-7,209,-42,-120,0,0,0
17,12,12,12,1,48,54,20,-1,0,1
12,12,12,12,-1,-234,307,200,-1,0,0
9,12,17,12,12,1056,45,130,0,0,0
0,13,0,13,-6,-242,-126,-135,4,0,0
12,12,10,16,3,-184,-24,-68,-2,0,0
17,12,6,16,28,-780,32,70,-1,0,1
5,12,5,12,-6,-320,-72,-57,1,0,1
1,2,10,3,7,390,-18,-51,0,0,1
12,7,8,12,-15,-868,-77,-95,-1,0,0
6,10,12,12,15,2142,101,160,-2,0,0
15,10,1,5,82,1982,7,37,-4,0,1
1,7,11,12,38,-3020,126,166,0,1,1
0,5,12,12,9,377,127,260,-1,0,1
9,12,15,12,5,-116,8,38,-3,0,1
9,12,17,13,1,-200,117,190,3,0,1
8,7,12,7,-1,-7,-74,-63,0,0,0
0,12,10,16,-4,-320,-103,-295,1,0,0
10,7,9,13,18,413,123,230,0,0,1
11,7,4,12,3,82,56,30,0,0,1
12,7,3,12,0,77,63,60,2,0,1
10,12,12,7,-2,201,-69,-60,-3,0,0
12,12,9,12,2,-17,81,45,3,0,1
12,12,9,12,2,282,331,132,-1,0,1
1,2,16,4,16,1570,105,130,-1,0,0
14,12,13,12,-31,-610,113,162,0,0,1
12,12,5,14,-8,-115,-94,-160,1,0,0
16,4,3,12,-6,-268,106,175,1,0,0
2,10,17,9,9,534,100,190,1,0,1
17,12,9,12,4,172,-79,-85,2,0,0
14,12,11,12,-4,-1300,-43,-95,0,0,0
14,12,14,12,3,0,101,135,-2,0,1
0,7,3,12,2,15,51,32,-3,0,1
8,13,9,7,-5,-595,64,40,-2,0,1
16,15,14,12,-11,120,-159,-170,2,0,1
3,16,12,12,4,1560,185,255,1,0,1
14,7,11,12,-1,-64,4,8,0,0,1
11,12,12,12,-4,-255,-180,-230,1,0,0
17,12,17,12,-140,-3890,-112,-186,-2,0,0
4,12,15,17,-11,-396,-43,-124,5,0,0
17,12,1,11,-7,-288,-116,-196,0,0,0
14,12,0,12,12,967,133,185,-4,1,0
1,2,9,12,10,1515,121,175,3,0,1
1,2,9,13,2,314,-74,-70,4,0,1
16,7,9,12,0,-405,-23,-66,-4,0,1
9,13,6,10,-4,-220,79,95,0,0,0
9,13,14,12,3,-88,174,223,-1,0,1
2,12,4,12,10,-122,-102,-162,-5,0,0
17,12,0,9,3,125,2,10,-4,0,1
9,7,6,5,-4,-545,-27,-78,-3,0,1
1,12,11,12,2,-525,102,161,-3,0,1
6,12,3,16,1,34,-4,-18,5,0,1
2,3,0,7,21,3330,146,224,2,1,1
12,12,14,12,4,-312,-5,-12,0,0,1
12,4,9,11,-5,-450,28,-64,-3,0,0
3,12,9,11,6,290,107,163,1,0,1
3,8,16,7,-14,-502,-9,-25,2,0,1
15,4,16,12,-16,-1993,-161,-80,3,-1,0
6,10,13,7,-11,-510,-180,-230,1,0,0
10,12,0,13,-11,-60,-94,-130,0,0,0
8,6,17,12,0,15,68,62,2,0,1
16,12,12,12,-3,470,-7,-15,1,0,0
13,2,16,12,-1,-1235,-88,-86,3,-1,0
6,17,4,12,3,1463,112,150,4,1,1
9,5,2,12,-2,-155,-4,-10,1,0,0
12,12,10,12,4,85,22,-80,-2,0,0
9,12,0,9,23,335,96,123,4,0,0
6,5,12,12,1,660,17,38,2,0,0
6,12,12,7,-4,-272,4,24,4,0,0
6,12,4,12,14,780,191,289,0,0,1
0,12,14,6,3,59,-198,-395,-4,-1,0
9,13,17,12,14,905,173,211,-1,0,1
17,2,2,10,28,2800,162,270,0,1,1
11,7,12,12,6,284,114,160,-4,1,1
5,12,15,9,0,626,-24,-118,0,0,1
1,14,17,12,-6,-255,-116,-210,1,0,0
4,12,4,12,-3,-45,-69,-105,1,0,0
1,2,11,12,10,1341,86,75,1,0,1
15,12,14,7,6,949,10,62,-2,0,0
9,13,2,7,-65,-2011,-242,-360,-2,-1,0
13,12,15,12,2,-670,100,125,-2,0,1
17,9,0,7,0,-10,116,-20,2,0,0
12,12,3,16,0,-1145,-164,-150,-3,0,0
3,12,11,7,7,635,58,167,3,0,1
17,4,17,10,1,5,47,15,-1,0,0
10,12,3,12,20,9098,136,195,0,1,0
3,12,0,12,3,210,32,160,-4,0,1
17,12,12,12,1,267,-2,-5,-3,0,0
9,13,9,12,-2,-92,-5,-24,1,0,0
5,1,14,12,6,920,-48,5,1,0,0
0,13,5,14,-7,-215,-72,-205,-2,0,0
1,11,12,12,3,100,123,230,1,0,1
12,12,12,12,-4,-317,-60,-30,-1,0,0
17,12,12,7,8,581,22,64,-3,0,0
12,9,13,12,-1,856,108,187,4,0,1
9,12,17,12,-7,-184,-98,-160,4,0,0
12,12,5,12,23,3000,254,370,-1,1,1
15,10,12,10,2,1096,-4,-13,-4,0,0
9,13,17,12,0,-50,77,86,-3,0,0
8,6,9,12,1,33,164,170,-1,0,1
9,13,12,7,3,28,-2,-10,-2,0,0
17,13,6,5,-5,-516,-58,12,-3,0,1
17,15,15,12,3,-210,36,105,0,0,1
17,12,0,13,3,300,105,170,0,0,1
1,6,16,5,-15,-2392,-195,-250,-3,-1,0
0,7,5,12,-7,-378,1,1,2,0,1
3,8,1,12,-7,-367,7,20,1,0,0
6,12,17,12,0,36,23,116,2,0,0
15,11,0,12,7,152,0,157,3,0,1
2,12,6,12,9,1040,120,235,3,0,1
17,10,1,12,-1,-51,-14,-10,-1,0,0
1,11,5,12,-3,-120,-56,25,-3,0,0
2,12,15,17,-4,-170,-109,-175,4,0,1
3,7,9,13,11,472,197,260,0,1,1
10,12,15,12,-2,70,5,15,-1,0,1
0,9,0,13,-5,-222,-45,-15,4,0,0
13,7,2,7,-6,-1550,-111,-145,0,0,1
1,12,12,7,4,105,14,68,4,0,0
3,12,13,12,-27,-352,-98,-143,4,0,0
4,7,15,14,-4,-1648,-19,-35,-1,0,0
6,12,14,12,3,395,101,135,2,0,1
8,12,0,9,14,711,112,198,4,0,1
4,12,9,13,6,38,112,200,2,0,1
13,1,3,12,7,463,116,205,1,0,1
17,10,17,10,-2,44,-22,-63,0,0,0
14,12,2,14,1,456,0,0,1,-1,0
17,15,2,12,6,389,113,195,2,0,0
13,7,17,11,1,-450,75,60,1,0,1
12,7,16,2,-47,-6618,-254,-418,-2,-1,0
16,14,6,5,4,1675,33,95,1,0,0
12,7,14,12,-3,-213,-9,-47,-1,0,1
17,12,12,12,-8,-585,-11,-55,3,0,1
0,12,5,14,-3,-87,-16,-80,3,0,0
13,12,17,12,6,-55,108,170,0,0,0
17,12,17,12,-3,-215,-7,-35,-3,0,0
9,12,17,12,5,33,-152,-162,-2,0,0
6,7,12,7,2,55,64,32,1,0,1
10,16,12,12,3,354,131,271,-1,0,1
17,5,10,14,8,325,170,210,-2,0,1
0,7,6,12,3,-684,-5,-14,0,0,0
12,12,1,12,1,-62,6,29,-1,0,1
15,17,17,12,7,318,57,165,-2,0,0
14,12,0,12,-1,-10,-5,130,2,0,1
6,14,16,14,-1,-5110,-30,-66,3,0,1
17,12,17,12,-5,-354,158,128,2,0,1
15,5,17,7,13,2505,207,310,2,1,1
14,12,9,13,11,1075,74,165,-3,1,1
12,12,2,3,-19,-3045,-180,-320,-2,-1,0
14,12,0,12,8,290,21,104,-3,0,1
5,12,6,5,-4,60,-81,-100,-3,0,0
0,13,9,5,-5,-1875,-103,-130,-4,-1,0
17,1,13,5,11,658,101,160,-1,0,1
15,10,17,12,-5,754,-31,-90,1,0,0
14,7,6,12,3,-59,-5,-15,4,0,0
0,12,0,12,-1,62,79,195,0,0,1
6,12,10,7,-5,-549,-26,-131,-1,0,0
12,7,1,12,13,716,109,240,-2,0,1
12,12,17,9,-4,40,-40,55,-2,0,0
17,12,14,12,0,-31,90,145,3,0,1
6,12,16,4,4,105,-91,-101,0,0,0
17,12,17,10,4,160,103,203,3,0,1
17,12,10,12,10,308,112,205,4,0,1
17,12,1,2,-10,-1355,-125,-187,0,0,0
13,5,12,12,3,172,0,0,-1,0,0
9,13,12,12,-12,-820,-81,-90,0,0,0
1,11,15,0,4,215,108,155,1,0,1
13,1,0,12,10,531,100,287,-2,0,1
14,7,9,7,5,100,99,175,3,0,1
15,12,3,12,8,2295,105,152,1,0,0
1,12,6,12,5,291,85,111,1,0,1
0,9,2,3,-24,-3377,-173,-300,0,-1,0
17,10,12,12,1,-4,108,188,0,0,0
2,12,17,12,1,97,-2,-10,-1,0,1
9,12,14,12,1,99,-197,-262,0,-1,0
5,12,17,7,-51,-1840,-26,-75,4,0,1
2,7,15,12,2,-814,35,100,-2,0,1
17,11,17,10,2,381,-75,-60,-2,0,1
13,5,17,7,1,164,18,60,1,0,1
16,8,12,12,-12,-1260,-95,-222,3,0,0
17,11,14,5,9,1680,-46,17,-3,0,0
16,5,0,12,14,2385,189,375,2,1,1
14,9,0,7,3,-5,221,356,-2,0,1
17,11,17,14,4,525,2,5,0,0,0
16,12,12,12,2,752,174,220,0,0,1
17,10,14,12,7,230,107,183,-1,0,1
15,14,0,10,5,1625,108,174,0,0,1
16,14,0,7,1,1485,9,26,0,0,0
9,12,15,16,19,-2770,54,3,1,0,1
0,16,17,10,11,806,212,312,2,0,1
17,12,16,12,3,-90,0,0,-3,0,1
6,12,0,7,7,842,122,235,-1,0,1
1,12,5,12,4,245,86,115,-2,0,1
12,12,1,5,6,537,7,37,-4,0,0
12,12,4,12,6,51,-87,-156,-4,0,0
2,10,5,12,5,595,91,90,-1,0,0
5,12,10,14,9,655,167,205,2,0,0
0,9,13,1,1,-119,67,51,1,0,0
16,15,14,12,6,1165,80,75,-3,0,0
1,14,10,16,-3,-369,-120,-220,1,0,0
15,7,2,12,-35,-70,-76,-19,4,0,0
3,12,6,12,5,111,106,173,1,0,1
16,14,8,12,-4,1,183,165,1,1,1
6,12,12,12,6,525,93,114,-3,0,1
9,14,14,12,15,1110,119,185,-4,0,1
0,12,6,12,-2,-245,-65,-34,-1,0,0
8,9,3,12,-2,-165,-10,-51,4,0,0
9,1,0,12,6,419,65,80,0,0,0
1,5,12,7,5,145,52,148,1,0,0
9,12,5,12,3,185,9,45,1,0,1
1,11,6,7,4,180,45,128,-2,0,1
0,9,8,12,-3,-77,74,85,2,0,1
12,12,12,12,6,-285,-80,-85,-3,0,1
10,12,3,7,3,100,-92,-138,-2,0,1
0,13,6,12,-16,-1518,-155,-360,0,0,0
5,12,9,12,9,417,97,147,-4,0,1
17,8,0,12,9,246,-8,122,-1,0,0
11,10,17,10,17,2740,105,146,-1,0,1
0,6,14,7,12,439,183,237,0,0,1
1,5,15,11,-2,48,99,126,-1,0,1
8,1,0,12,-5,530,-5,-15,3,0,0
5,12,3,16,-6,-1720,-171,-187,2,0,0
9,12,15,4,1,456,-33,-165,-3,0,0
12,12,2,12,-12,-945,-191,-280,-2,0,0
2,12,0,9,6,850,18,40,0,0,1
12,12,17,10,-3,-539,-76,-63,3,0,1
8,1,0,7,0,796,-8,90,1,0,0
17,12,16,8,137,3960,110,175,-3,0,0
0,13,12,12,0,-343,-450,-90,-1,0,1
14,12,14,4,-5,-199,164,302,1,1,1
6,12,0,12,-4,-360,-33,-95,0,0,0
5,12,3,12,9,385,106,192,-2,0,1
1,2,3,12,10,458,5,15,2,0,0
12,7,15,4,7,304,-208,-290,-5,-1,1
9,7,6,12,3,205,-79,-74,1,0,0
12,12,9,12,-1,125,-6,-70,0,0,0
4,12,1,5,-5,-225,-58,-165,-4,0,0
5,12,6,12,5,50,92,155,3,0,1
1,5,10,12,-9,-2700,-13,-37,1,0,1
6,12,17,12,5,110,83,110,1,0,1
16,14,17,12,-139,-3028,-115,-200,0,0,0
2,12,9,16,8,-1067,-111,-189,-4,0,1
14,12,17,12,16,1150,240,350,-3,1,1
0,3,5,12,-13,-349,-115,-191,0,0,0
10,16,10,7,-4,-244,92,78,3,0,1
12,12,12,7,12,823,165,212,-3,0,1
17,13,17,12,-1,165,-107,-163,-4,0,0
6,12,12,7,8,179,125,243,0,0,1
17,16,10,12,13,780,175,210,3,0,1
10,12,0,12,17,2964,128,330,1,0,1
3,12,15,14,-4,-1602,-105,-160,-1,0,0
6,5,9,13,8,545,87,124,0,0,1
3,12,15,7,-8,-380,-12,-34,5,0,0
12,12,9,13,9,180,-87,-100,-2,0,0
0,12,16,15,-13,-3347,-66,-35,2,0,0
0,5,12,7,0,145,-41,21,1,0,0
0,9,6,16,-12,-4227,-137,-220,1,-1,0
9,12,2,11,-24,-3145,-234,-344,0,-1,0
6,7,8,12,-15,-906,-102,-143,2,0,1
12,12,17,4,-5,-250,-138,-167,-1,0,1
9,16,10,12,2,605,105,159,1,0,0
15,1,2,7,-2,-80,0,0,1,0,0
1,8,0,13,-20,-1895,-85,-105,-2,0,0
17,2,15,5,-1,-1080,-18,-40,-3,-1,0
2,10,12,12,2,-195,-28,-80,2,0,0
2,12,12,12,4,590,89,100,2,0,1
17,14,1,12,1,-15,-93,-131,-4,0,0
17,12,17,15,-9,-740,-110,-181,1,0,0
0,7,13,12,-6,-140,-79,-121,3,0,1
8,13,17,12,-47,-1215,36,-40,-2,0,1
3,12,12,12,2,-27,-121,-220,3,0,1
4,12,1,6,-4,-115,9,25,4,0,0
12,12,12,12,2,202,31,155,-2,0,1
17,14,17,12,-7,574,12,35,-2,0,1
17,15,17,10,-2,-120,10,-4,-3,0,0
12,7,9,13,-2,65,10,50,4,0,1
1,12,4,12,-3,86,-112,-260,-3,0,0
0,12,3,12,-15,-628,-81,-115,-2,0,1
9,7,3,12,10,790,-7,-21,-3,0,0
3,12,2,12,-6,-835,-101,-135,0,0,0
0,13,2,10,-4,-173,-21,-105,-3,0,1
8,6,12,7,0,14,-1,-3,-1,0,0
15,17,8,12,8,390,112,192,-4,0,1
1,12,4,12,6,395,50,142,2,0,1
14,6,0,12,-1,-19,207,285,0,1,1
2,7,16,8,7,981,113,152,-3,0,1
12,12,15,11,-7,-164,-6,-32,-4,0,0
13,12,9,13,3,155,-57,-15,-3,0,1
12,7,13,7,-13,-529,-106,-191,4,0,0
13,10,5,12,-1,122,68,50,0,0,0
8,12,6,12,0,-62,-3,-14,2,0,0
12,12,2,12,6,-218,109,182,1,0,1
9,14,2,14,-16,-575,-205,-275,-2,-1,0
1,12,3,12,1,85,35,77,0,1,1
14,5,17,12,3,130,75,68,3,0,1
3,12,17,12,-7,-201,-41,-205,-3,0,1
2,7,3,12,-1,231,96,103,-2,0,0
12,17,9,12,6,225,81,97,-2,0,1
15,1,6,12,10,1740,96,102,-3,0,0
3,12,4,12,2,80,4,18,2,0,1
9,5,8,12,7,377,100,157,-2,0,1
0,6,5,12,8,265,187,245,4,0,1
10,12,15,12,-10,-372,-91,-145,-1,0,0
10,12,17,12,-42,-3435,-236,-342,2,-1,0
17,7,2,12,47,1295,-54,0,-4,0,0
8,9,12,7,-3,-142,10,47,4,0,0
9,13,14,4,6,-2,97,192,-2,0,1
17,14,0,3,11,354,-1,-4,-4,0,1
12,14,0,16,5,85,-14,-40,-3,0,0
13,5,17,7,-6,-12,-106,-173,-1,0,0
14,12,8,12,-15,-760,-170,-195,-1,0,1
14,7,12,7,46,2005,187,340,-2,1,1
17,14,10,12,2,-90,-86,-110,0,0,0
0,7,12,9,-4,-365,-66,25,-4,0,1
17,12,17,12,19,857,23,50,-2,0,0
5,12,6,7,-6,-90,-98,-115,4,-1,0
6,5,13,12,-10,486,88,130,4,0,0
8,6,16,5,-15,-2370,-131,-210,0,-1,0
0,13,0,12,3,64,16,10,-2,0,1
15,14,12,12,1,1194,-234,-10,2,0,1
0,13,0,12,18,1906,146,280,4,0,1
17,4,16,2,-50,-6745,-218,-430,-2,-1,1
10,12,12,12,3,420,-99,-140,-1,0,0
0,12,14,12,-5,-601,-136,-216,0,0,0
3,12,16,8,-5,0,-24,-120,-4,0,0
6,12,9,12,6,87,-78,-81,4,0,1
13,5,17,12,-5,-10,-101,-160,0,0,0
17,7,0,5,-3,-260,-21,-70,1,0,0
9,13,17,16,-5,-659,-18,-40,-3,0,0
17,7,15,12,-5,-915,-14,-70,2,0,1
5,12,0,9,9,375,80,95,0,0,0
14,5,11,7,7,360,117,188,2,0,1
17,12,14,12,6,167,84,115,-4,0,1
0,7,6,12,4,171,86,115,0,0,1
9,12,3,12,21,410,96,123,0,0,1
12,7,12,7,-13,-747,-95,-110,4,0,0
3,12,9,14,-6,-585,44,-10,1,0,0
6,12,13,12,-28,-460,-87,-88,0,0,0
4,12,15,12,-9,-2145,-99,-118,3,-1,0
5,12,17,12,0,-1,-3,-15,0,0,0
9,13,0,7,-12,-344,-81,-110,2,0,0
13,7,12,12,13,515,108,202,0,0,1
6,12,12,12,-8,-220,-3,-6,4,0,0
1,14,2,7,-18,-2065,-212,-312,5,0,0
12,12,0,16,-10,-500,-123,-180,-2,0,1
17,7,0,7,13,2164,11,51,-1,0,1
16,15,14,7,6,3450,74,60,1,0,1
5,12,12,12,-26,-3075,-263,-415,1,-1,0
0,12,13,12,-32,-621,-118,-243,0,0,0
0,16,1,8,13,1070,42,120,-1,0,1
17,12,17,12,-6,-214,-122,-215,2,0,0
12,7,6,12,-6,-173,-86,-127,4,0,0
14,6,17,12,0,9,54,120,1,1,1
4,12,2,3,-18,-3350,-58,-128,1,-1,1
8,13,15,17,3,-349,-111,-185,0,0,1
4,12,5,12,4,155,114,177,0,0,1
12,12,2,12,-2,-380,-5,-25,2,0,1
6,15,15,12,4,370,95,130,-3,0,1
12,7,13,1,2,-131,50,6,0,0,1
17,10,17,12,-6,-110,-16,-45,2,0,0
0,7,15,7,-6,-420,5,-104,5,0,0
17,12,17,13,0,51,-25,-116,-1,0,0
17,5,5,12,4,340,160,160,-4,0,1
14,12,0,7,-2,5,40,-100,0,0,0
2,12,1,12,-2,-195,11,32,3,0,0
3,12,17,8,-6,-95,5,25,-3,0,0
17,12,17,12,-6,-427,50,0,1,0,0
12,7,6,5,-3,-70,-17,-47,1,0,0
11,14,6,12,8,307,99,156,0,0,1
6,12,12,7,6,169,89,141,-3,0,1
6,12,15,7,-14,-565,-118,-205,2,0,0
12,7,14,7,-8,10,-47,-132,0,0,0
6,7,2,12,2,567,201,280,0,1,1
12,12,11,12,-14,-1695,-191,-230,1,-1,1
5,12,3,12,2,38,-72,-57,3,0,0
5,7,11,12,0,-44,-9,-25,2,0,1
4,12,11,12,-18,-5041,-50,-143,0,0,0
14,12,0,3,5,422,-25,-72,-4,0,0
0,13,11,17,4,-751,14,40,-2,0,1
13,1,0,16,-11,-633,-204,-271,-1,0,0
4,12,17,12,-2,-26,-148,-139,2,0,0
9,12,9,5,-4,-742,-97,-125,-4,0,0
2,14,9,12,16,542,49,110,1,1,1
8,12,17,12,3,-42,24,121,-2,0,1
17,14,5,12,-2,-150,-100,-150,-4,0,0
12,4,13,1,1,-137,29,-59,-3,0,1
0,7,3,12,2,-137,-131,-260,1,0,0
17,7,13,12,1,-48,1,3,2,0,1
12,12,12,12,0,-27,96,167,2,0,0
6,12,14,12,5,119,47,135,-4,0,1
1,7,12,7,-7,-359,-74,-37,1,0,0
9,1,15,7,8,679,95,74,-2,0,0
0,6,9,7,7,283,22,110,3,0,1
0,16,17,12,0,942,-2,-5,-3,0,0
15,7,9,11,4,-185,110,233,1,0,1
16,10,17,4,88,3915,91,260,0,0,0
13,12,0,3,12,-74,-107,-184,-4,0,0
0,3,15,2,0,-117,93,110,-1,0,1
17,12,3,12,-3,-185,-67,-63,-2,0,1
9,12,6,5,-10,-456,-175,-212,-1,0,0
16,12,12,12,-2,135,-105,-170,0,0,0
0,12,17,12,-9,-204,-105,-265,-1,0,0
14,9,5,12,-1,-152,213,315,-2,0,1
6,15,15,0,1,425,80,55,-1,0,0
0,12,17,12,-60,-1586,-144,-316,1,0,0
15,17,17,12,-1,20,8,41,-1,0,1
9,14,1,16,4,500,14,30,-4,0,0
14,12,5,12,-9,-397,119,175,-1,1,1
15,12,2,12,6,1495,85,95,2,0,0
11,8,11,12,-13,-2334,-9,-5,-1,0,0
16,15,9,10,-1,500,3,5,-1,0,0
14,7,15,17,-3,-95,-7,-35,1,0,1
0,16,13,2,-6,443,-10,-29,-4,0,0
15,12,0,7,9,2264,102,166,0,1,0
13,12,14,7,8,695,14,42,-2,0,0
17,15,17,12,-3,-366,4,10,2,0,0
14,7,15,0,2,-20,78,70,2,0,1
3,12,17,12,-5,-61,102,205,3,0,1
17,12,1,7,-52,-1915,-244,-372,-3,-1,0
16,8,17,12,-10,-181,-13,-37,3,0,0
2,7,8,13,9,2099,208,290,0,0,0
0,7,3,12,3,155,92,144,2,0,1
0,17,14,12,-15,-1203,-252,-411,2,-1,0
16,10,12,12,86,3890,127,250,-1,0,0
9,5,6,12,11,821,177,221,4,0,0
2,12,7,2,-5,-490,-43,-125,-1,0,0
3,12,9,12,-7,-263,-32,-93,-2,0,0
9,12,5,1,-16,-1310,-111,-185,-3,0,1
14,12,15,12,-4,-930,-70,-55,0,0,1
3,12,16,4,-4,-112,-78,-105,2,0,1
17,12,1,14,19,853,181,242,-4,0,1
1,7,16,4,52,1915,173,300,3,1,1
14,12,9,12,9,335,158,174,0,0,1
10,15,9,12,-1,987,-99,-135,-4,0,0
8,7,6,5,3,-45,32,93,1,0,1
13,12,6,12,-9,-342,-113,-193,2,0,0
6,12,3,12,-3,-34,-66,-57,3,0,0
17,10,0,7,-4,-17,-101,-126,0,0,0
0,7,12,12,-2,-20,-116,-226,-1,0,0
14,12,14,4,6,279,130,287,2,0,0
14,12,0,16,-4,-190,-121,-235,-2,0,1
9,12,0,12,4,278,29,145,-1,0,0
6,12,14,12,3,50,90,145,-1,0,1
15,12,14,4,-6,486,-158,-143,0,0,0
12,12,14,12,0,-335,-23,-67,0,0,1
9,13,15,12,11,-20,99,135,-4,0,1
1,12,17,1,-8,-275,-173,-200,-1,0,0
12,12,15,9,1,72,319,90,2,0,1
12,7,9,13,-3,5,-107,-157,1,0,0
11,10,12,4,20,2855,144,260,3,0,1
11,17,14,12,-2,194,-163,-200,-2,0,0
16,14,14,12,3,5215,128,195,1,0,1
12,12,8,12,-2,22,-29,-85,2,0,0
0,13,13,12,-4,-110,-78,-115,1,0,0
5,12,10,2,-13,-610,-192,-310,-1,0,0
14,12,5,12,-4,-157,11,30,4,0,0
17,12,8,9,16,1800,199,271,-4,1,1
17,10,15,16,-4,-1259,-9,-27,-1,0,1
9,12,6,7,-11,-290,-191,-230,5,-1,0
14,7,9,13,46,2055,144,216,-3,1,1
9,12,8,12,3,114,-31,-90,-2,0,0
17,15,17,12,4,580,31,90,1,0,0
3,12,9,12,-7,-928,0,0,-1,0,0
12,12,9,14,-14,-1112,-120,-190,1,0,0
17,12,14,12,-4,-140,-76,-85,-4,0,0
3,12,6,12,9,1136,59,15,3,0,1
14,4,6,5,-1,7,-45,-127,0,0,0
10,15,12,12,18,2718,189,275,1,0,0
8,7,9,1,-9,-584,-146,-132,1,0,0
17,12,12,12,-11,-402,-89,-115,1,0,0
12,4,13,2,-13,-760,-78,-224,-5,0,1
17,12,10,2,0,747,-54,-15,-2,0,0
17,13,12,7,0,20,-56,19,-2,0,0
17,10,17,12,0,136,124,268,2,0,1
8,7,17,12,1,-2,-200,-252,0,0,0
0,12,0,10,5,200,81,118,1,0,1
12,12,17,7,2,-447,100,137,0,0,1
16,4,12,12,-4,-133,117,230,3,0,1
17,12,0,12,-4,-181,-94,-184,-1,0,0
13,17,17,12,-1,-42,2,12,3,0,0
15,17,10,12,-6,-890,-114,-194,4,0,0
17,12,17,12,-40,-3475,-243,-376,2,-1,0
12,12,6,5,-1,-408,-16,-48,0,0,1
8,6,11,7,-14,-523,-206,-305,4,-1,0
2,10,14,7,3,184,-5,-13,-1,0,0
17,12,9,13,-7,-50,133,210,3,0,1
17,12,12,12,7,-85,14,40,1,0,0
6,14,15,9,5,152,169,179,3,0,1
5,12,9,4,7,858,-9,-43,-2,0,1
6,14,1,5,4,90,69,46,1,0,1
0,7,12,12,-3,-564,6,-95,0,0,0
9,7,17,7,-9,-237,-116,-223,-3,0,0
16,12,6,5,-10,-690,-4,-8,0,0,1
12,12,12,12,0,145,-53,-10,-3,0,1
11,12,17,12,20,2450,113,165,4,0,0
17,12,10,12,-20,-8554,-64,-142,2,-1,0
1,12,5,12,-11,-397,-103,-174,4,0,0
15,16,8,12,2,1370,14,40,1,0,0
0,9,3,12,0,-461,53,20,4,0,0
0,7,9,13,12,346,78,96,-3,0,1
8,12,15,12,8,-255,32,93,0,0,1
14,12,15,12,3,-1080,45,100,-2,0,1
0,13,10,12,-17,-2968,-145,-330,-3,0,1
0,15,0,13,2,152,125,245,-3,0,0
0,6,12,12,8,345,176,190,3,0,1
